date,close,high,low,open,volume
2026-05-25,284.95001220703125,289.95001220703125,284.29998779296875,289.95001220703125,12837047
2026-05-26,287.5,289.6499938964844,284.0,285.1000061035156,10629491
2026-05-27,274.04998779296875,284.20001220703125,272.45001220703125,284.20001220703125,29178516
2026-05-28,274.04998779296875,274.04998779296875,274.04998779296875,274.04998779296875,0
2026-05-29,265.3999938964844,276.04998779296875,261.54998779296875,275.95001220703125,74403401
2026-06-01,264.29998779296875,268.29998779296875,263.25,266.54998779296875,9095622
2026-06-02,265.04998779296875,266.20001220703125,261.04998779296875,263.1499938964844,16831714
2026-06-03,267.75,268.70001220703125,264.29998779296875,265.1499938964844,14618721
2026-06-04,267.54998779296875,271.1499938964844,265.8999938964844,266.70001220703125,15217360
2026-06-05,264.75,268.45001220703125,263.70001220703125,267.79998779296875,7493239
2026-06-08,264.6499938964844,266.25,262.70001220703125,264.1499938964844,6974540
2026-06-09,259.0,265.5,258.29998779296875,264.1499938964844,10796349
2026-06-10,251.89999389648438,261.8500061035156,251.35000610351562,259.0,10176332
2026-06-11,252.60000610351562,256.5,250.0500030517578,252.9499969482422,13516341
2026-06-12,246.1999969482422,250.85000610351562,243.35000610351562,250.3000030517578,31112657
2026-06-15,243.64999389648438,248.3000030517578,242.8000030517578,248.0500030517578,25211118
2026-06-16,248.1999969482422,248.8000030517578,243.5,244.14999389648438,17468010
2026-06-17,245.0,247.75,244.0,246.0,12816262
2026-06-18,245.3000030517578,246.85000610351562,243.0,245.9499969482422,13816485
2026-06-19,246.25,246.6999969482422,243.3000030517578,245.3000030517578,7609532
2026-06-22,245.4499969482422,247.75,243.8000030517578,244.9499969482422,7334095
2026-06-23,244.35000610351562,246.1999969482422,243.5500030517578,245.39999389648438,7400255
2026-06-24,240.0,245.8000030517578,239.5,244.35000610351562,10278033
2026-06-25,233.10000610351562,240.8000030517578,232.10000610351562,240.8000030517578,36085563
2026-06-26,233.10000610351562,233.10000610351562,233.10000610351562,233.10000610351562,0
2026-06-29,234.0500030517578,237.14999389648438,229.6999969482422,234.0,38227413
2026-06-30,234.89999389648438,236.0,227.64999389648438,233.9499969482422,24134402
2026-07-01,234.99000549316406,236.10000610351562,233.52000427246094,235.6999969482422,11835312
2026-07-02,235.9600067138672,236.3300018310547,230.8000030517578,234.0,14033169
2026-07-03,237.83999633789062,239.6999969482422,236.3300018310547,237.1999969482422,11086950
2026-07-06,243.89999389648438,244.38999938964844,236.83999633789062,239.60000610351562,22386040
2026-07-07,244.17999267578125,245.27000427246094,242.67999267578125,244.0500030517578,15287101
2026-07-08,247.0,248.35000610351562,241.47999572753906,246.82000732421875,24753835
2026-07-09,243.64999389648438,249.58999633789062,242.91000366210938,249.58999633789062,14066120
2026-07-10,244.9600067138672,245.38999938964844,243.41000366210938,243.64999389648438,8237303
2026-07-13,248.4499969482422,249.25,245.5500030517578,246.3000030517578,12453319
2026-07-14,248.89999389648438,252.0,247.3000030517578,252.0,16299949
2026-07-15,247.17999267578125,249.4499969482422,246.3000030517578,249.4199981689453,13302251
2026-07-16,246.75,247.9600067138672,245.61000061035156,247.9199981689453,6243845
2026-07-17,247.2899932861328,247.7899932861328,245.60000610351562,246.1999969482422,6214332
2026-07-20,249.5800018310547,252.39999389648438,248.10000610351562,248.42999267578125,10627783
2026-07-21,249.88999938964844,251.69000244140625,248.4600067138672,250.00999450683594,12240171
2026-07-22,251.89999389648438,252.77999877929688,250.1300048828125,251.0,10909821
2026-07-23,252.3699951171875,254.1999969482422,252.00999450683594,253.94000244140625,9104521
2026-07-24,248.75999450683594,253.55999755859375,248.27000427246094,252.5,7645869
2026-07-27,238.55999755859375,248.1699981689453,238.13999938964844,248.0,19910285
2026-07-28,238.91000366210938,239.97999572753906,236.08999633789062,238.0,13362577
2026-07-29,238.30999755859375,240.02000427246094,237.92999267578125,240.0,9139712
2026-07-30,241.58999633789062,244.38999938964844,239.05999755859375,239.5,11419363
2026-07-31,242.52999877929688,242.9600067138672,238.1699981689453,241.5800018310547,10070729
2026-08-03,242.0,242.6199951171875,240.05999755859375,241.4499969482422,8277525
2026-08-04,242.0,243.1999969482422,240.60000610351562,242.0,10470809
2026-08-05,240.1999969482422,245.0,239.11000061035156,245.0,19402523
